transaction_id,branch_id,city,amount,status,transaction_type,account_type,customer_id,customer_age,gender,channel,currency,transaction_date
BAN-5-6216,5,Bangalore,4005.63,SUCCESS,DEPOSIT,CURRENT,CUST90078,27,OTHER,INTERNET,INR,2025-05-01
BAN-5-3191,5,Bangalore,1871.35,FAILED,TRANSFER,CURRENT,CUST56811,64,OTHER,BRANCH,INR,2025-05-01
BAN-5-6541,5,Bangalore,3357.69,FAILED,WITHDRAWAL,LOAN,CUST35860,45,FEMALE,BRANCH,INR,2025-05-01
BAN-5-9561,5,Bangalore,2204.13,FAILED,PAYMENT,CURRENT,CUST14616,25,FEMALE,MOBILE,INR,2025-05-01
BAN-5-4574,5,Bangalore,501.86,SUCCESS,WITHDRAWAL,LOAN,CUST98539,64,OTHER,INTERNET,INR,2025-05-01
BAN-5-5160,5,Bangalore,2160.19,SUCCESS,TRANSFER,SAVINGS,CUST93624,61,MALE,ATM,INR,2025-05-01
BAN-5-7954,5,Bangalore,4142.0,FAILED,WITHDRAWAL,CURRENT,CUST92319,22,OTHER,ATM,INR,2025-05-01
BAN-5-8640,5,Bangalore,3325.14,SUCCESS,PAYMENT,CURRENT,CUST39672,27,MALE,INTERNET,INR,2025-05-01
BAN-5-3099,5,Bangalore,3104.45,FAILED,TRANSFER,SAVINGS,CUST34820,65,FEMALE,MOBILE,INR,2025-05-01
BAN-5-7062,5,Bangalore,3867.86,FAILED,DEPOSIT,CURRENT,CUST76688,37,OTHER,ATM,INR,2025-05-01
BAN-5-2319,5,Bangalore,3802.73,SUCCESS,DEPOSIT,LOAN,CUST35509,29,MALE,BRANCH,INR,2025-05-01
BAN-5-4886,5,Bangalore,1879.58,FAILED,DEPOSIT,SAVINGS,CUST92724,27,OTHER,BRANCH,INR,2025-05-01
BAN-5-3175,5,Bangalore,4147.57,SUCCESS,TRANSFER,CURRENT,CUST51625,22,OTHER,ATM,INR,2025-05-01
BAN-5-2050,5,Bangalore,3053.93,SUCCESS,PAYMENT,LOAN,CUST63794,33,OTHER,BRANCH,INR,2025-05-01
BAN-5-4297,5,Bangalore,4867.2,FAILED,DEPOSIT,LOAN,CUST26599,51,FEMALE,INTERNET,INR,2025-05-01
BAN-5-3953,5,Bangalore,4996.82,SUCCESS,WITHDRAWAL,SAVINGS,CUST64487,52,FEMALE,MOBILE,INR,2025-05-01
BAN-5-2038,5,Bangalore,3413.44,SUCCESS,TRANSFER,SAVINGS,CUST27325,18,FEMALE,MOBILE,INR,2025-05-01
BAN-5-6623,5,Bangalore,2455.09,FAILED,DEPOSIT,LOAN,CUST65529,22,MALE,ATM,INR,2025-05-01
BAN-5-6556,5,Bangalore,1986.74,SUCCESS,TRANSFER,SAVINGS,CUST18388,24,OTHER,INTERNET,INR,2025-05-01
BAN-5-2700,5,Bangalore,1773.86,FAILED,TRANSFER,LOAN,CUST81293,51,MALE,BRANCH,INR,2025-05-01
BAN-5-4654,5,Bangalore,101.0,FAILED,PAYMENT,CURRENT,CUST26499,51,OTHER,INTERNET,INR,2025-05-02
BAN-5-4351,5,Bangalore,452.76,SUCCESS,PAYMENT,SAVINGS,CUST35239,45,MALE,ATM,INR,2025-05-02
BAN-5-2031,5,Bangalore,4135.84,SUCCESS,TRANSFER,LOAN,CUST46010,46,OTHER,MOBILE,INR,2025-05-02
BAN-5-1767,5,Bangalore,472.83,FAILED,TRANSFER,LOAN,CUST38403,36,OTHER,ATM,INR,2025-05-02
BAN-5-3156,5,Bangalore,1941.42,FAILED,PAYMENT,LOAN,CUST31189,21,MALE,ATM,INR,2025-05-02
BAN-5-3299,5,Bangalore,4513.24,SUCCESS,WITHDRAWAL,SAVINGS,CUST96294,53,FEMALE,ATM,INR,2025-05-02
BAN-5-5097,5,Bangalore,2582.23,SUCCESS,PAYMENT,LOAN,CUST82715,46,MALE,INTERNET,INR,2025-05-02
BAN-5-7681,5,Bangalore,2482.21,FAILED,WITHDRAWAL,CURRENT,CUST72743,61,FEMALE,ATM,INR,2025-05-02
BAN-5-8133,5,Bangalore,3433.29,SUCCESS,PAYMENT,SAVINGS,CUST73600,61,FEMALE,INTERNET,INR,2025-05-02
BAN-5-2470,5,Bangalore,346.11,SUCCESS,WITHDRAWAL,SAVINGS,CUST48292,38,FEMALE,INTERNET,INR,2025-05-02
BAN-5-5898,5,Bangalore,2217.97,FAILED,DEPOSIT,LOAN,CUST33553,34,OTHER,BRANCH,INR,2025-05-02
BAN-5-2861,5,Bangalore,794.71,FAILED,WITHDRAWAL,SAVINGS,CUST58211,57,OTHER,MOBILE,INR,2025-05-02
BAN-5-6674,5,Bangalore,827.89,SUCCESS,TRANSFER,SAVINGS,CUST62843,52,OTHER,MOBILE,INR,2025-05-02
