transaction_id,branch_id,city,amount,status,transaction_type,account_type,customer_id,customer_age,gender,channel,currency,transaction_date
MUM-2-9484,2,Mumbai,1002.92,FAILED,DEPOSIT,SAVINGS,CUST90771,22,FEMALE,INTERNET,INR,2025-05-01
MUM-2-7545,2,Mumbai,4738.57,FAILED,TRANSFER,SAVINGS,CUST16783,37,OTHER,MOBILE,INR,2025-05-01
MUM-2-9205,2,Mumbai,4839.74,SUCCESS,TRANSFER,CURRENT,CUST96536,37,OTHER,INTERNET,INR,2025-05-01
MUM-2-5053,2,Mumbai,2070.63,SUCCESS,WITHDRAWAL,CURRENT,CUST17114,54,FEMALE,ATM,INR,2025-05-01
MUM-2-2592,2,Mumbai,2452.57,SUCCESS,DEPOSIT,SAVINGS,CUST50312,21,OTHER,BRANCH,INR,2025-05-01
MUM-2-6622,2,Mumbai,1634.43,SUCCESS,WITHDRAWAL,CURRENT,CUST48249,44,FEMALE,ATM,INR,2025-05-01
MUM-2-1832,2,Mumbai,4787.18,FAILED,PAYMENT,SAVINGS,CUST36649,30,FEMALE,INTERNET,INR,2025-05-01
MUM-2-1199,2,Mumbai,1011.11,FAILED,DEPOSIT,LOAN,CUST84134,60,MALE,BRANCH,INR,2025-05-01
MUM-2-6316,2,Mumbai,665.94,SUCCESS,PAYMENT,LOAN,CUST42435,50,OTHER,BRANCH,INR,2025-05-01
MUM-2-5173,2,Mumbai,3060.17,SUCCESS,TRANSFER,LOAN,CUST68718,23,OTHER,ATM,INR,2025-05-01
MUM-2-5395,2,Mumbai,3057.26,SUCCESS,WITHDRAWAL,LOAN,CUST66277,63,MALE,MOBILE,INR,2025-05-01
MUM-2-2189,2,Mumbai,1322.27,FAILED,DEPOSIT,SAVINGS,CUST81349,57,OTHER,ATM,INR,2025-05-01
MUM-2-1701,2,Mumbai,4288.45,SUCCESS,PAYMENT,CURRENT,CUST77103,34,OTHER,MOBILE,INR,2025-05-01
MUM-2-8619,2,Mumbai,440.12,SUCCESS,DEPOSIT,LOAN,CUST16393,42,MALE,BRANCH,INR,2025-05-01
MUM-2-1218,2,Mumbai,2393.48,FAILED,PAYMENT,SAVINGS,CUST49107,24,FEMALE,MOBILE,INR,2025-05-01
MUM-2-6374,2,Mumbai,4932.7,SUCCESS,TRANSFER,SAVINGS,CUST68766,68,OTHER,BRANCH,INR,2025-05-01
MUM-2-7425,2,Mumbai,4399.77,SUCCESS,PAYMENT,LOAN,CUST92766,39,FEMALE,BRANCH,INR,2025-05-01
MUM-2-1888,2,Mumbai,3367.72,SUCCESS,TRANSFER,LOAN,CUST83164,34,FEMALE,MOBILE,INR,2025-05-01
MUM-2-9886,2,Mumbai,3976.24,SUCCESS,DEPOSIT,CURRENT,CUST29594,28,FEMALE,INTERNET,INR,2025-05-01
MUM-2-2845,2,Mumbai,708.78,SUCCESS,DEPOSIT,LOAN,CUST71012,62,MALE,BRANCH,INR,2025-05-01
MUM-2-1823,2,Mumbai,1390.98,SUCCESS,DEPOSIT,SAVINGS,CUST23925,20,FEMALE,MOBILE,INR,2025-05-02
MUM-2-9819,2,Mumbai,228.8,FAILED,WITHDRAWAL,CURRENT,CUST81416,45,MALE,BRANCH,INR,2025-05-02
MUM-2-4052,2,Mumbai,2757.3,SUCCESS,DEPOSIT,CURRENT,CUST30464,33,MALE,MOBILE,INR,2025-05-02
MUM-2-8411,2,Mumbai,2550.1,SUCCESS,DEPOSIT,SAVINGS,CUST51660,69,OTHER,MOBILE,INR,2025-05-02
MUM-2-6976,2,Mumbai,2975.29,FAILED,TRANSFER,LOAN,CUST90586,64,MALE,INTERNET,INR,2025-05-02
MUM-2-4843,2,Mumbai,886.89,SUCCESS,PAYMENT,CURRENT,CUST40459,23,OTHER,MOBILE,INR,2025-05-02
MUM-2-3889,2,Mumbai,1730.64,FAILED,WITHDRAWAL,SAVINGS,CUST10389,23,FEMALE,ATM,INR,2025-05-02
MUM-2-1039,2,Mumbai,3149.33,SUCCESS,DEPOSIT,LOAN,CUST83272,49,MALE,BRANCH,INR,2025-05-02
MUM-2-9734,2,Mumbai,1976.35,SUCCESS,TRANSFER,LOAN,CUST27654,40,MALE,MOBILE,INR,2025-05-02
MUM-2-2065,2,Mumbai,2924.55,SUCCESS,WITHDRAWAL,LOAN,CUST52542,65,MALE,ATM,INR,2025-05-02
MUM-2-8349,2,Mumbai,2392.04,FAILED,TRANSFER,CURRENT,CUST36465,18,MALE,INTERNET,INR,2025-05-02
MUM-2-6738,2,Mumbai,1918.54,SUCCESS,PAYMENT,CURRENT,CUST77479,52,OTHER,ATM,INR,2025-05-02
MUM-2-6996,2,Mumbai,3544.24,FAILED,DEPOSIT,SAVINGS,CUST42417,51,MALE,MOBILE,INR,2025-05-02
MUM-2-3739,2,Mumbai,1351.87,SUCCESS,TRANSFER,LOAN,CUST71441,50,MALE,ATM,INR,2025-05-02
MUM-2-1343,2,Mumbai,2237.92,SUCCESS,DEPOSIT,LOAN,CUST89159,67,FEMALE,INTERNET,INR,2025-05-02
MUM-2-2792,2,Mumbai,3908.79,SUCCESS,DEPOSIT,CURRENT,CUST11616,39,OTHER,MOBILE,INR,2025-05-02
MUM-2-3726,2,Mumbai,3853.11,FAILED,TRANSFER,LOAN,CUST74150,69,FEMALE,ATM,INR,2025-05-02
MUM-2-9034,2,Mumbai,2463.44,FAILED,WITHDRAWAL,SAVINGS,CUST47914,25,MALE,BRANCH,INR,2025-05-02
MUM-2-6048,2,Mumbai,782.07,FAILED,WITHDRAWAL,SAVINGS,CUST15537,62,MALE,MOBILE,INR,2025-05-02
MUM-2-6540,2,Mumbai,4756.3,FAILED,WITHDRAWAL,SAVINGS,CUST28714,33,MALE,MOBILE,INR,2025-05-02
MUM-2-3423,2,Mumbai,759.83,FAILED,TRANSFER,CURRENT,CUST30278,42,FEMALE,ATM,INR,2025-05-03
MUM-2-9354,2,Mumbai,631.62,FAILED,PAYMENT,SAVINGS,CUST28774,45,FEMALE,INTERNET,INR,2025-05-03
MUM-2-2297,2,Mumbai,2543.38,FAILED,PAYMENT,SAVINGS,CUST33513,51,OTHER,ATM,INR,2025-05-03
MUM-2-8527,2,Mumbai,1204.19,SUCCESS,WITHDRAWAL,LOAN,CUST21826,23,MALE,BRANCH,INR,2025-05-03
MUM-2-4512,2,Mumbai,838.62,SUCCESS,PAYMENT,CURRENT,CUST17504,67,MALE,INTERNET,INR,2025-05-03
MUM-2-8609,2,Mumbai,3061.04,FAILED,WITHDRAWAL,SAVINGS,CUST61035,68,MALE,BRANCH,INR,2025-05-03
