transaction_id,branch_id,city,amount,status,transaction_type,account_type,customer_id,customer_age,gender,channel,currency,transaction_date
PUN-4-3005,4,Pune,551.6,SUCCESS,WITHDRAWAL,SAVINGS,CUST79746,35,MALE,ATM,INR,2025-05-01
PUN-4-2933,4,Pune,1739.17,SUCCESS,PAYMENT,SAVINGS,CUST85243,57,OTHER,MOBILE,INR,2025-05-01
PUN-4-2525,4,Pune,2913.11,FAILED,WITHDRAWAL,SAVINGS,CUST71305,67,FEMALE,MOBILE,INR,2025-05-01
PUN-4-7396,4,Pune,3317.57,FAILED,TRANSFER,CURRENT,CUST68659,53,OTHER,MOBILE,INR,2025-05-01
PUN-4-7190,4,Pune,427.37,FAILED,PAYMENT,CURRENT,CUST67853,29,MALE,INTERNET,INR,2025-05-01
PUN-4-7871,4,Pune,1727.74,FAILED,WITHDRAWAL,LOAN,CUST60967,31,MALE,MOBILE,INR,2025-05-01
PUN-4-3901,4,Pune,2478.65,SUCCESS,TRANSFER,LOAN,CUST74865,46,OTHER,ATM,INR,2025-05-01
PUN-4-5148,4,Pune,1031.54,SUCCESS,WITHDRAWAL,CURRENT,CUST57798,52,MALE,ATM,INR,2025-05-01
PUN-4-8165,4,Pune,2187.17,SUCCESS,PAYMENT,SAVINGS,CUST26277,57,MALE,BRANCH,INR,2025-05-01
PUN-4-6719,4,Pune,798.63,FAILED,WITHDRAWAL,SAVINGS,CUST30386,62,MALE,INTERNET,INR,2025-05-01
PUN-4-9359,4,Pune,3718.53,SUCCESS,WITHDRAWAL,CURRENT,CUST61606,30,OTHER,MOBILE,INR,2025-05-01
PUN-4-5419,4,Pune,2897.48,SUCCESS,PAYMENT,LOAN,CUST46935,36,OTHER,ATM,INR,2025-05-01
PUN-4-1383,4,Pune,2431.93,SUCCESS,WITHDRAWAL,LOAN,CUST95493,46,MALE,BRANCH,INR,2025-05-01
PUN-4-5521,4,Pune,1270.78,FAILED,TRANSFER,SAVINGS,CUST97773,38,MALE,ATM,INR,2025-05-01
PUN-4-4320,4,Pune,3152.28,FAILED,WITHDRAWAL,CURRENT,CUST47566,66,MALE,BRANCH,INR,2025-05-01
PUN-4-1902,4,Pune,1423.35,SUCCESS,TRANSFER,CURRENT,CUST66410,58,FEMALE,BRANCH,INR,2025-05-01
PUN-4-7266,4,Pune,3759.24,FAILED,WITHDRAWAL,LOAN,CUST61016,68,MALE,ATM,INR,2025-05-01
PUN-4-2710,4,Pune,1279.09,FAILED,DEPOSIT,LOAN,CUST52615,50,OTHER,INTERNET,INR,2025-05-01
PUN-4-3361,4,Pune,607.99,FAILED,WITHDRAWAL,SAVINGS,CUST19273,38,FEMALE,ATM,INR,2025-05-01
PUN-4-3732,4,Pune,767.67,FAILED,TRANSFER,LOAN,CUST76106,64,MALE,ATM,INR,2025-05-01
PUN-4-8827,4,Pune,760.19,SUCCESS,WITHDRAWAL,SAVINGS,CUST81476,26,MALE,BRANCH,INR,2025-05-02
PUN-4-5002,4,Pune,1552.8,SUCCESS,PAYMENT,CURRENT,CUST92184,43,MALE,MOBILE,INR,2025-05-02
PUN-4-5580,4,Pune,4536.57,SUCCESS,TRANSFER,SAVINGS,CUST17930,47,FEMALE,MOBILE,INR,2025-05-02
PUN-4-7516,4,Pune,3304.45,FAILED,DEPOSIT,CURRENT,CUST61811,30,FEMALE,ATM,INR,2025-05-02
PUN-4-2990,4,Pune,2225.05,SUCCESS,DEPOSIT,SAVINGS,CUST80305,67,FEMALE,MOBILE,INR,2025-05-02
PUN-4-5281,4,Pune,3275.16,FAILED,PAYMENT,LOAN,CUST18912,23,OTHER,ATM,INR,2025-05-02
PUN-4-8359,4,Pune,444.69,SUCCESS,WITHDRAWAL,SAVINGS,CUST21638,33,OTHER,BRANCH,INR,2025-05-02
PUN-4-7379,4,Pune,1984.27,SUCCESS,DEPOSIT,LOAN,CUST90016,27,FEMALE,MOBILE,INR,2025-05-02
PUN-4-1595,4,Pune,1430.94,SUCCESS,DEPOSIT,CURRENT,CUST63975,63,MALE,MOBILE,INR,2025-05-02
PUN-4-7512,4,Pune,2298.16,SUCCESS,WITHDRAWAL,LOAN,CUST14522,48,MALE,MOBILE,INR,2025-05-02
PUN-4-6376,4,Pune,4751.8,FAILED,TRANSFER,CURRENT,CUST30403,58,MALE,INTERNET,INR,2025-05-02
PUN-4-9031,4,Pune,914.67,FAILED,PAYMENT,LOAN,CUST42751,37,MALE,BRANCH,INR,2025-05-02
PUN-4-7689,4,Pune,4778.56,SUCCESS,WITHDRAWAL,LOAN,CUST89956,46,MALE,BRANCH,INR,2025-05-02
PUN-4-2056,4,Pune,668.33,FAILED,WITHDRAWAL,SAVINGS,CUST84443,51,OTHER,INTERNET,INR,2025-05-02
PUN-4-7321,4,Pune,883.58,FAILED,DEPOSIT,LOAN,CUST79803,61,OTHER,INTERNET,INR,2025-05-02
PUN-4-2941,4,Pune,2350.12,SUCCESS,DEPOSIT,CURRENT,CUST53403,22,MALE,MOBILE,INR,2025-05-02
PUN-4-2677,4,Pune,2191.24,SUCCESS,PAYMENT,LOAN,CUST59069,35,MALE,ATM,INR,2025-05-02
PUN-4-1752,4,Pune,3639.95,FAILED,PAYMENT,SAVINGS,CUST59984,20,MALE,BRANCH,INR,2025-05-02
PUN-4-1490,4,Pune,2823.51,FAILED,WITHDRAWAL,SAVINGS,CUST90117,44,MALE,ATM,INR,2025-05-02
PUN-4-3289,4,Pune,4812.69,FAILED,DEPOSIT,CURRENT,CUST25632,38,OTHER,INTERNET,INR,2025-05-02
PUN-4-8512,4,Pune,331.74,FAILED,WITHDRAWAL,CURRENT,CUST28848,44,OTHER,ATM,INR,2025-05-03
PUN-4-4791,4,Pune,1424.94,FAILED,PAYMENT,CURRENT,CUST93968,23,OTHER,INTERNET,INR,2025-05-03
PUN-4-1677,4,Pune,2120.54,FAILED,TRANSFER,CURRENT,CUST61730,25,FEMALE,INTERNET,INR,2025-05-03
PUN-4-8806,4,Pune,2262.19,FAILED,TRANSFER,CURRENT,CUST28990,32,FEMALE,MOBILE,INR,2025-05-03
PUN-4-8463,4,Pune,2264.25,SUCCESS,WITHDRAWAL,CURRENT,CUST52289,41,MALE,MOBILE,INR,2025-05-03
PUN-4-8286,4,Pune,1181.26,FAILED,DEPOSIT,LOAN,CUST79537,27,OTHER,BRANCH,INR,2025-05-03
PUN-4-6069,4,Pune,581.87,FAILED,PAYMENT,SAVINGS,CUST12235,40,OTHER,INTERNET,INR,2025-05-03
PUN-4-7385,4,Pune,355.51,FAILED,PAYMENT,SAVINGS,CUST85328,68,FEMALE,INTERNET,INR,2025-05-03
PUN-4-5009,4,Pune,1782.83,FAILED,DEPOSIT,CURRENT,CUST63394,35,FEMALE,INTERNET,INR,2025-05-03
PUN-4-9859,4,Pune,996.13,SUCCESS,WITHDRAWAL,LOAN,CUST13981,66,FEMALE,ATM,INR,2025-05-03
PUN-4-5189,4,Pune,386.2,FAILED,PAYMENT,SAVINGS,CUST29371,61,MALE,BRANCH,INR,2025-05-03
PUN-4-6465,4,Pune,2483.16,FAILED,PAYMENT,SAVINGS,CUST99757,57,FEMALE,INTERNET,INR,2025-05-03
PUN-4-4066,4,Pune,1130.6,FAILED,DEPOSIT,CURRENT,CUST39021,23,MALE,MOBILE,INR,2025-05-03
PUN-4-8287,4,Pune,1182.12,SUCCESS,PAYMENT,SAVINGS,CUST14462,64,MALE,ATM,INR,2025-05-03
PUN-4-1176,4,Pune,3851.79,FAILED,TRANSFER,LOAN,CUST88529,25,OTHER,BRANCH,INR,2025-05-03
PUN-4-2560,4,Pune,3885.87,FAILED,WITHDRAWAL,CURRENT,CUST57054,31,MALE,BRANCH,INR,2025-05-03
PUN-4-1103,4,Pune,640.0,FAILED,TRANSFER,CURRENT,CUST40288,48,FEMALE,MOBILE,INR,2025-05-03
PUN-4-5804,4,Pune,1470.29,SUCCESS,TRANSFER,CURRENT,CUST93718,42,OTHER,ATM,INR,2025-05-03
